"VRSTA TURISTIÈNEGA POTOVANJA","DESTINACIJA","PREVOZNO SREDSTVO","MERITVE","2021","2022"
"Zasebna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Potovanja (v 1000)",4541,4748
"Zasebna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",17655,19523
"Zasebna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",3.9,4.1
"Zasebna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",61.25,64.52
"Zasebna potovanja","Destinacija - SKUPAJ","Avtobus","Potovanja (v 1000)",159,249
"Zasebna potovanja","Destinacija - SKUPAJ","Avtobus","Prenoèitve (v 1000)",723,1205
"Zasebna potovanja","Destinacija - SKUPAJ","Avtobus","Povpreèno število prenoèitev",4.6,4.8
"Zasebna potovanja","Destinacija - SKUPAJ","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",59.84,67.62
"Zasebna potovanja","Destinacija - SKUPAJ","Vlak","Potovanja (v 1000)",66,74
"Zasebna potovanja","Destinacija - SKUPAJ","Vlak","Prenoèitve (v 1000)",215,325
"Zasebna potovanja","Destinacija - SKUPAJ","Vlak","Povpreèno število prenoèitev",3.3,4.4
"Zasebna potovanja","Destinacija - SKUPAJ","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",52.20,67.90
"Zasebna potovanja","Destinacija - SKUPAJ","Letalo","Potovanja (v 1000)",159,303
"Zasebna potovanja","Destinacija - SKUPAJ","Letalo","Prenoèitve (v 1000)",1418,2299
"Zasebna potovanja","Destinacija - SKUPAJ","Letalo","Povpreèno število prenoèitev",8.9,7.6
"Zasebna potovanja","Destinacija - SKUPAJ","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",151.27,131.77
"Zasebna potovanja","Destinacija - SKUPAJ","Drugo","Potovanja (v 1000)",38,38
"Zasebna potovanja","Destinacija - SKUPAJ","Drugo","Prenoèitve (v 1000)",199,255
"Zasebna potovanja","Destinacija - SKUPAJ","Drugo","Povpreèno število prenoèitev",5.3,6.7
"Zasebna potovanja","Destinacija - SKUPAJ","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",103.14,91.05
"Zasebna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",3049,2567
"Zasebna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",8585,6928
"Zasebna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",2.8,2.7
"Zasebna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",64.22,64.98
"Zasebna potovanja","Slovenija","Osebno cestno motorno vozilo","Potovanja (v 1000)",2884,2423
"Zasebna potovanja","Slovenija","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",8060,6428
"Zasebna potovanja","Slovenija","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",2.8,2.7
"Zasebna potovanja","Slovenija","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",64.94,66.13
"Zasebna potovanja","Slovenija","Avtobus","Potovanja (v 1000)",96,94
"Zasebna potovanja","Slovenija","Avtobus","Prenoèitve (v 1000)",321,330
"Zasebna potovanja","Slovenija","Avtobus","Povpreèno število prenoèitev",3.3,3.5
"Zasebna potovanja","Slovenija","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",63.10,57.04
"Zasebna potovanja","Slovenija","Vlak","Potovanja (v 1000)",46,44
"Zasebna potovanja","Slovenija","Vlak","Prenoèitve (v 1000)",118,155
"Zasebna potovanja","Slovenija","Vlak","Povpreèno število prenoèitev",2.6,3.5
"Zasebna potovanja","Slovenija","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",43.22,35.35
"Zasebna potovanja","Slovenija","Letalo","Potovanja (v 1000)",-,-
"Zasebna potovanja","Slovenija","Letalo","Prenoèitve (v 1000)",-,-
"Zasebna potovanja","Slovenija","Letalo","Povpreèno število prenoèitev",-,-
"Zasebna potovanja","Slovenija","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",-,-
"Zasebna potovanja","Slovenija","Drugo","Potovanja (v 1000)",N,N
"Zasebna potovanja","Slovenija","Drugo","Prenoèitve (v 1000)",N,N
"Zasebna potovanja","Slovenija","Drugo","Povpreèno število prenoèitev",N,N
"Zasebna potovanja","Slovenija","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Zasebna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",1914,2845
"Zasebna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",11627,16680
